dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,-0.170567,-0.170615,3.40192,10.7111,10.7117,33.814
0.01,-0.166374,-0.16642,3.41061,10.6644,10.6649,33.3179
0.01,-0.162057,-0.162101,3.41922,10.6006,10.601,32.8249
0.01,-0.157641,-0.157683,3.42775,10.5202,10.5207,32.3354
0.01,-0.15315,-0.153191,3.43619,10.4239,10.4243,31.8493
0.01,-0.148608,-0.148648,3.44453,10.3121,10.3124,31.3665
0.01,-0.144039,-0.144077,3.45279,10.1855,10.1858,30.8875
0.01,-0.139466,-0.139502,3.46094,10.045,10.0452,30.4123
0.01,-0.134909,-0.134944,3.469,9.89131,9.89145,29.9412
0.01,-0.130391,-0.130424,3.47695,9.72542,9.72547,29.4744
0.01,-0.12593,-0.125962,3.4848,9.54808,9.54811,29.0121
0.01,-0.121546,-0.121577,3.49254,9.36045,9.36045,28.5547
0.01,-0.117256,-0.117285,3.50017,9.16342,9.16338,28.1019
0.01,-0.113077,-0.113105,3.50769,8.95816,8.95802,27.6543
0.01,-0.109023,-0.10905,3.5151,8.74554,8.7454,27.2123
0.01,-0.105108,-0.105135,3.52241,8.52674,8.52659,26.7755
0.01,-0.101345,-0.101371,3.5296,8.30283,8.30263,26.3442
0.01,-0.0977448,-0.0977697,3.53668,8.07492,8.07465,25.9188
0.01,-0.0943163,-0.0943405,3.54365,7.84399,7.84364,25.4992
0.01,-0.0910678,-0.0910913,3.55052,7.61112,7.61074,25.0855
0.01,-0.088006,-0.0880288,3.55727,7.37729,7.3769,24.6778
0.01,-0.0851362,-0.0851582,3.56392,7.14355,7.14311,24.2762
0.01,-0.0824618,-0.0824834,3.57046,6.91085,6.91037,23.8808
0.01,-0.0799858,-0.080007,3.5769,6.68008,6.6796,23.4913
0.01,-0.0777092,-0.0777299,3.58323,6.45218,6.45167,23.1081
0.01,-0.0756318,-0.0756519,3.58947,6.22795,6.22736,22.7308
0.01,-0.0737521,-0.0737721,3.5956,6.00814,6.00758,22.3598
0.01,-0.0720679,-0.0720875,3.60164,5.79357,5.79295,21.9946
0.01,-0.0705755,-0.0705949,3.60758,5.58483,5.58421,21.6356
0.01,-0.0692702,-0.0692894,3.61342,5.38252,5.38193,21.2824
0.01,-0.0681465,-0.0681654,3.61917,5.1873,5.18667,20.9349
0.01,-0.067198,-0.0672167,3.62484,4.99955,4.99893,20.5933
0.01,-0.0664171,-0.0664357,3.63041,4.81979,4.81915,20.2573
0.01,-0.065796,-0.0658144,3.63589,4.64837,4.64772,19.9268
0.01,-0.065326,-0.0653442,3.64129,4.48555,4.48492,19.6019
0.01,-0.0649976,-0.0650159,3.6466,4.33163,4.33101,19.2821
0.01,-0.0648014,-0.0648196,3.65183,4.18679,4.18617,18.9675
0.01,-0.0647271,-0.0647452,3.65698,4.05116,4.0505,18.6583
0.01,-0.0647641,-0.0647823,3.66205,3.92477,3.92414,18.3541
0.01,-0.0649018,-0.0649199,3.66704,3.80765,3.80704,18.0547
0.01,-0.0651294,-0.0651473,3.67196,3.69976,3.69915,17.7603
0.01,-0.0654357,-0.0654535,3.67679,3.60099,3.6004,17.4706
0.01,-0.0658098,-0.0658274,3.68156,3.51122,3.51063,17.1856
0.01,-0.0662407,-0.0662583,3.68624,3.43023,3.42964,16.9053
0.01,-0.0667177,-0.0667353,3.69086,3.35783,3.35726,16.6294
0.01,-0.06723,-0.0672475,3.69541,3.29372,3.29315,16.3579
0.01,-0.0677675,-0.0677847,3.69988,3.23756,3.23705,16.0909
0.01,-0.0683198,-0.0683369,3.70429,3.18908,3.18858,15.8282
0.01,-0.0688773,-0.068894,3.70862,3.14782,3.14733,15.5695
0.01,-0.0694305,-0.0694471,3.71289,3.11345,3.11298,15.3152
0.01,-0.0699707,-0.0699869,3.7171,3.08554,3.08505,15.065
0.01,-0.0704894,-0.0705053,3.72124,3.06356,3.06317,14.8187
0.01,-0.0709787,-0.0709943,3.72532,3.04717,3.04677,14.5763
0.01,-0.0714313,-0.0714467,3.72933,3.03583,3.03546,14.338
0.01,-0.0718404,-0.0718555,3.73329,3.02911,3.02874,14.1036
0.01,-0.0721998,-0.0722146,3.73718,3.02648,3.02613,13.873
0.01,-0.0725042,-0.0725186,3.74101,3.02747,3.02713,13.646
0.01,-0.0727485,-0.0727624,3.74479,3.0316,3.03128,13.4228
0.01,-0.072928,-0.0729415,3.7485,3.03837,3.03807,13.2032
0.01,-0.0730395,-0.0730526,3.75216,3.04732,3.04704,12.9871
0.01,-0.0730797,-0.0730923,3.75577,3.05798,3.05771,12.7746
0.01,-0.0730461,-0.0730584,3.75932,3.06993,3.06966,12.5655
