Tauu_x,Tauu_y,Tauu_z,Fu
8.78859e-05,0.000288459,8.25018e-06,3.9602
8.82379e-05,0.000272791,7.58881e-06,3.9604
8.7358e-05,0.000278917,6.88827e-06,3.96061
8.74782e-05,0.000250054,6.1775e-06,3.96081
8.50718e-05,0.000264532,5.41805e-06,3.96102
8.40705e-05,0.000241317,4.6612e-06,3.96121
8.29499e-05,0.000220485,3.88412e-06,3.96141
7.94137e-05,0.000226315,3.07304e-06,3.9616
7.6969e-05,0.000211912,2.26775e-06,3.96179
7.75038e-05,0.000172845,1.47758e-06,3.96198
7.05348e-05,0.000191914,6.21612e-07,3.96217
6.51009e-05,0.000187134,-2.11454e-07,3.96235
6.52796e-05,0.000151758,-1.00782e-06,3.96253
5.79078e-05,0.000151542,-1.84992e-06,3.96271
6.04658e-05,0.000114427,-2.62257e-06,3.96288
5.07638e-05,0.000117341,-3.45089e-06,3.96305
3.48527e-05,0.000123061,-4.2781e-06,3.96322
4.27348e-05,7.94968e-05,-4.97764e-06,3.96338
6.7784e-05,3.20914e-05,-5.61312e-06,3.96354
5.02929e-06,8.29642e-05,-6.54456e-06,3.9637
4.25247e-05,3.00448e-05,-7.08436e-06,3.96386
3.09011e-05,2.49585e-05,-7.76926e-06,3.96401
2.26516e-05,1.42309e-05,-8.41056e-06,3.96417
2.18608e-05,2.37764e-06,-8.99755e-06,3.96432
-4.83508e-05,-2.84122e-05,-9.68394e-06,3.96447
4.94433e-05,-1.29095e-05,-9.97376e-06,3.96461
-2.54844e-06,-4.07998e-05,-1.05247e-05,3.96476
-3.08926e-05,-7.05531e-05,-1.09957e-05,3.9649
1.82536e-06,-5.76887e-05,-1.13198e-05,3.96504
2.56674e-05,-4.11115e-05,-1.16228e-05,3.96517
-2.89146e-05,-9.53407e-05,-1.19894e-05,3.9653
2.97146e-06,-7.08793e-05,-6.59636e-06,3.96543
-3.45742e-05,-0.000113802,-1.29038e-05,3.96556
-3.16141e-05,-0.00011605,-1.30057e-05,3.96569
-2.77781e-05,-0.000115768,-1.3046e-05,3.96581
-4.82439e-05,-0.000145801,-1.30472e-05,3.96593
-3.99419e-05,-0.000138885,-1.29865e-05,3.96605
-3.21651e-05,-0.000131088,-1.28771e-05,3.96617
-2.4972e-05,-0.00012259,-1.27353e-05,3.96628
-6.06553e-05,-0.000175174,-1.25639e-05,3.96639
-4.97961e-05,-0.000161372,-1.23433e-05,3.96651
-3.9757e-05,-0.000147931,-1.20645e-05,3.96662
-5.10485e-05,-0.000165531,-1.17455e-05,3.96673
-4.10455e-05,-0.000150979,-1.13977e-05,3.96684
-7.25302e-05,-0.000199619,-1.09956e-05,3.96694
-4.12946e-05,-0.000151986,-1.05769e-05,3.96705
-5.34002e-05,-0.000170243,-1.00956e-05,3.96715
-4.45333e-05,-0.000156058,-9.60706e-06,3.96725
-5.81401e-05,-0.000176266,-9.07618e-06,3.96735
-7.31465e-05,-0.000198018,-8.51451e-06,3.96744
-4.29878e-05,-0.000150619,-7.94946e-06,3.96754
-3.67399e-05,-0.000140264,-7.34364e-06,3.96763
-5.68758e-05,-0.000168948,-6.71618e-06,3.96772
-5.3308e-05,-0.000161502,-6.09862e-06,3.9678
-5.09585e-05,-0.00015591,-5.45448e-06,3.96789
-5.03668e-05,-0.000152156,-4.79364e-06,3.96798
-5.16349e-05,-0.000150719,-4.12222e-06,3.96806
-1.74826e-05,-0.000103225,-3.49458e-06,3.96814
-6.09357e-05,-0.00015548,-2.76713e-06,3.96822
-2.51274e-05,-0.00010794,-2.16289e-06,3.9683
-3.37418e-05,-0.000114904,-1.4806e-06,3.96838
-4.84671e-05,-0.000125474,-7.99148e-07,3.96845
-7.42841e-05,-0.000140236,-8.94797e-08,3.96853
6.27106e-05,-1.99951e-05,3.09206e-07,3.96861
-4.59878e-05,-0.000106098,1.16304e-06,3.96868
-0.000100131,-0.000119699,1.86935e-06,3.96876
-2.34342e-05,-6.28588e-05,2.31798e-06,3.96883
-9.01435e-05,-5.55541e-05,3.12847e-06,3.9689
5.39413e-05,-3.32567e-05,3.32665e-06,3.96897
-5.18688e-06,-2.81222e-05,4.03139e-06,3.96905
-4.13356e-05,1.55449e-05,4.61758e-06,3.96912
6.62652e-05,-7.82328e-05,4.67867e-06,3.96919
1.54799e-05,-3.69361e-05,5.2733e-06,3.96926
4.30881e-05,-0.000115771,5.52852e-06,3.96932
-1.76504e-05,4.0503e-05,6.2014e-06,3.96939
1.14992e-05,-4.05875e-05,6.43736e-06,3.96945
-6.96465e-06,7.87721e-05,6.93438e-06,3.9695
1.11788e-05,-2.7954e-06,7.16114e-06,3.96956
1.11058e-05,1.34214e-05,7.47502e-06,3.96962
1.23007e-05,2.45833e-05,7.75723e-06,3.96968
1.46856e-05,-3.695e-05,7.95637e-06,3.96974
1.37413e-05,4.41639e-05,8.22797e-06,3.96979
1.53333e-05,4.60242e-05,8.40406e-06,3.96985
1.66536e-05,4.65634e-05,8.5256e-06,3.9699
2.04644e-05,0.00010389,8.62639e-06,3.96996
1.84725e-05,3.93968e-05,8.61887e-06,3.97001
1.87294e-05,3.7995e-05,8.60084e-06,3.97006
2.68828e-05,0.000142894,8.59787e-06,3.97011
1.83594e-05,2.40892e-05,8.46946e-06,3.97016
2.25652e-05,7.35869e-05,8.36334e-06,3.97021
2.21675e-05,6.60667e-05,8.22304e-06,3.97026
2.67424e-05,0.000109463,8.06457e-06,3.9703
2.59399e-05,9.88949e-05,7.85638e-06,3.97034
2.51408e-05,8.88982e-05,7.61236e-06,3.97039
2.41883e-05,7.94143e-05,7.34593e-06,3.97043
2.33546e-05,7.04024e-05,7.06359e-06,3.97048
2.78955e-05,0.000113244,6.77717e-06,3.97052
2.68338e-05,0.000103045,6.46005e-06,3.97056
2.57401e-05,9.35394e-05,6.11797e-06,3.97061
2.46324e-05,8.46643e-05,5.76255e-06,3.97065
2.35734e-05,7.63851e-05,5.39988e-06,3.97068
2.87193e-05,0.000125389,5.03845e-06,3.97073
2.14166e-05,5.94033e-05,4.65241e-06,3.97077
2.68705e-05,0.000113183,4.26851e-06,3.97081
2.57653e-05,0.000107868,3.87931e-06,3.97085
2.49742e-05,0.00010375,3.47862e-06,3.97089
1.79206e-05,3.17426e-05,3.07281e-06,3.97092
2.37772e-05,9.94237e-05,2.68768e-06,3.97095
2.30644e-05,9.89721e-05,2.31188e-06,3.97099
2.22572e-05,0.000100592,1.92809e-06,3.97103
1.62096e-05,1.70578e-05,1.54287e-06,3.97106
2.1116e-05,0.000109012,1.17516e-06,3.9711
1.61887e-05,1.73849e-05,8.22889e-07,3.97113
1.87546e-05,0.000128664,4.71446e-07,3.97116
1.53932e-05,2.56949e-05,1.33735e-07,3.9712
1.56661e-05,3.33937e-05,-2.06099e-07,3.97123
1.49379e-05,4.43592e-05,-5.2129e-07,3.97126
1.19082e-05,6.06603e-05,-8.24564e-07,3.97129
3.966e-06,8.69172e-05,-1.1225e-06,3.97132
-1.86852e-05,0.000137331,-1.41895e-06,3.97135
3.87523e-05,-0.000101426,-1.67254e-06,3.97137
-0.000227039,0.000428061,-2.01268e-06,3.9714
-1.18567e-05,-0.000143499,-2.1516e-06,3.97143
-1.12553e-05,-0.000135517,-2.32864e-06,3.97146
-1.05654e-05,-0.000128344,-2.47245e-06,3.97149
-9.76432e-06,-0.000121576,-2.62399e-06,3.97151
-8.84686e-06,-0.000114943,-2.80475e-06,3.97154
0.000492456,0.000242787,-3.06286e-06,3.97157
-7.31343e-05,-7.10372e-05,-3.44199e-06,3.97159
0.00011905,9.66049e-05,-3.98341e-06,3.97162
-6.94612e-05,-8.81958e-05,-4.23512e-06,3.97164
-5.79621e-05,-9.04081e-05,-4.38897e-06,3.97167
