domega_x,domega_y,domega_z,omega_x,omega_y,omega_z,dq_w,dq_x,dq_y,dq_z,q_w,q_x,q_y,q_z,dt
4.36993,-3.8803,0.13013,1.72022,-1.58501,0.0196602,0.0647096,0.858573,-0.791455,0.0147624,0.999038,-0.0292338,0.0326842,-8.78163e-05,0.01
3.59841,-3.22314,0.110883,1.75621,-1.61725,0.020769,0.0521004,0.87699,-0.808071,0.0154354,0.999488,-0.0204625,0.0246017,6.65333e-05,0.01
2.82079,-2.56991,0.0897018,1.78441,-1.64294,0.021666,0.0384657,0.891429,-0.821333,0.0159679,0.999799,-0.0115473,0.0163872,0.000226196,0.01
2.04176,-1.92472,0.0668237,1.80483,-1.66219,0.0223342,0.0240373,0.901863,-0.831262,0.016356,0.999964,-0.00252851,0.00807395,0.000389726,0.01
1.26568,-1.29124,0.0424922,1.81749,-1.6751,0.0227592,0.00905569,0.908293,-0.837905,0.0165986,0.999978,0.00655392,-0.000305079,0.000555669,0.01
0.496468,-0.67206,0.0169174,1.82245,-1.68182,0.0229283,-0.00623502,0.910743,-0.841325,0.0166972,0.999839,0.0156601,-0.00871766,0.000722586,0.01
-0.262534,-0.0696564,-0.00963268,1.81983,-1.68252,0.022832,-0.0215915,0.909259,-0.841604,0.0166561,0.999546,0.0247508,-0.0171324,0.000889079,0.01
-1.00841,0.514424,-0.036917,1.80974,-1.67738,0.0224628,-0.036775,0.903908,-0.838835,0.016482,0.999103,0.0337873,-0.0255188,0.00105382,0.01
-1.73881,1.07934,-0.0646793,1.79236,-1.66658,0.0218161,-0.0515556,0.894774,-0.83312,0.0161836,0.998512,0.0427319,-0.0338475,0.00121556,0.01
-2.4521,1.62497,-0.0926421,1.76783,-1.65033,0.0208896,-0.0657139,0.881953,-0.824568,0.0157719,0.997782,0.0515476,-0.0420901,0.00137318,0.01
-3.14655,2.15118,-0.120524,1.73637,-1.62882,0.0196844,-0.079045,0.865555,-0.81329,0.0152594,0.996921,0.0601989,-0.0502194,0.00152567,0.01
-3.82169,2.65927,-0.14803,1.69815,-1.60223,0.0182041,-0.0913588,0.845697,-0.799396,0.0146602,0.99594,0.0686512,-0.0582094,0.00167216,0.01
-4.47595,3.14986,-0.174872,1.65339,-1.57073,0.0164554,-0.102483,0.822505,-0.782994,0.0139891,0.99485,0.0768713,-0.066035,0.00181193,0.01
-5.1097,3.62464,-0.200718,1.6023,-1.53448,0.0144482,-0.112263,0.796109,-0.764187,0.013262,0.993666,0.0848271,-0.0736724,0.00194443,0.01
-5.72148,4.08508,-0.225266,1.54508,-1.49363,0.0121955,-0.120564,0.766644,-0.743072,0.0124946,0.992404,0.0924882,-0.0810984,0.00206925,0.01
-6.31139,4.53284,-0.248186,1.48197,-1.44831,0.00971368,-0.12727,0.73425,-0.719736,0.011703,0.991078,0.0998254,-0.088291,0.00218617,0.01
-6.87937,4.97007,-0.26914,1.41317,-1.3986,0.00702228,-0.132285,0.699063,-0.694257,0.0109027,0.989706,0.106811,-0.0952289,0.00229508,0.01
-7.42371,5.3976,-0.287829,1.33894,-1.34463,0.00414398,-0.135535,0.66123,-0.666709,0.0101084,0.988306,0.113418,-0.101891,0.00239606,0.01
-7.9442,5.81702,-0.303929,1.25949,-1.28646,0.00110469,-0.136965,0.620898,-0.637154,0.00933383,0.986896,0.119622,-0.108259,0.00248929,0.01
-8.43956,6.22882,-0.317172,1.1751,-1.22417,-0.00206703,-0.136545,0.578215,-0.605651,0.00859171,0.985496,0.1254,-0.114311,0.00257512,0.01
-8.9083,6.63408,-0.327295,1.08602,-1.15783,-0.00533998,-0.134262,0.533336,-0.572251,0.00789276,0.984122,0.130729,-0.12003,0.00265396,0.01
-9.34738,7.0314,-0.334099,0.992541,-1.08752,-0.00868097,-0.130132,0.486427,-0.537008,0.00724609,0.982794,0.135589,-0.125396,0.00272635,0.01
-9.75548,7.42065,-0.337434,0.894987,-1.01331,-0.0120553,-0.124192,0.437657,-0.499974,0.00665906,0.98153,0.139963,-0.130393,0.00279288,0.01
-10.1286,7.79962,-0.337206,0.793701,-0.935313,-0.0154274,-0.116502,0.387209,-0.461207,0.00613676,0.980346,0.143832,-0.135003,0.00285419,0.01
-10.4637,8.16613,-0.333398,0.689064,-0.853652,-0.0187613,-0.107151,0.335276,-0.42077,0.00568229,0.97926,0.147183,-0.139208,0.00291097,0.01
-10.7567,8.51662,-0.326087,0.581497,-0.768485,-0.0220222,-0.0962508,0.282067,-0.37874,0.0052966,0.978286,0.150002,-0.142994,0.0029639,0.01
-11.0037,8.8476,-0.315412,0.47146,-0.680009,-0.0251763,-0.0839412,0.227803,-0.335209,0.00497849,0.977438,0.152278,-0.146345,0.00301366,0.01
-11.1995,9.15359,-0.301588,0.359465,-0.588473,-0.0281922,-0.0703869,0.172728,-0.290286,0.00472493,0.976729,0.154005,-0.149247,0.00306089,0.01
-11.3403,9.43026,-0.284953,0.246061,-0.494171,-0.0310418,-0.0557765,0.117095,-0.244102,0.00453074,0.976167,0.155175,-0.151687,0.00310619,0.01
-11.4213,9.67165,-0.265855,0.131848,-0.397454,-0.0337003,-0.0403218,0.0611798,-0.19681,0.00438911,0.975762,0.155787,-0.153655,0.00315007,0.01
-11.4382,9.8719,-0.244739,0.0174661,-0.298735,-0.0361477,-0.0242547,0.00527372,-0.14859,0.00429185,0.975518,0.155839,-0.155141,0.00319299,0.01
-11.3881,10.0259,-0.222127,-0.0964152,-0.198477,-0.038369,-0.00782203,-0.0503205,-0.0996446,0.00422939,0.975439,0.155336,-0.156137,0.00323528,0.01
-11.2669,10.1274,-0.198429,-0.209084,-0.0972026,-0.0403533,0.00871593,-0.105282,-0.0502035,0.00419133,0.975526,0.154283,-0.156639,0.00327719,0.01
-11.0733,10.1722,-0.174269,-0.319817,0.00451905,-0.0420959,0.0250941,-0.159285,-0.000519066,0.00416649,0.975775,0.15269,-0.156644,0.00331885,0.01
-10.806,10.156,-0.149993,-0.427877,0.106079,-0.0435959,0.0410469,-0.211994,0.0491364,0.00414369,0.976183,0.15057,-0.156152,0.00336028,0.01
-10.4652,10.0757,-0.126171,-0.532529,0.206836,-0.0448576,0.0563156,-0.263078,0.0984726,0.00411155,0.976743,0.147938,-0.155167,0.00340138,0.01
-10.0515,9.9289,-0.10312,-0.633044,0.306125,-0.0458888,0.070654,-0.3122,0.147185,0.00405918,0.977443,0.144815,-0.153694,0.00344195,0.01
-9.56787,9.71449,-0.0812581,-0.728723,0.40327,-0.0467014,0.0838356,-0.359037,0.194959,0.0039764,0.978273,0.141224,-0.151743,0.00348168,0.01
-9.01818,9.43355,-0.0607733,-0.818905,0.497605,-0.0473091,0.0956608,-0.403279,0.241482,0.00385415,0.979218,0.137189,-0.149327,0.00352019,0.01
-8.40658,9.0871,-0.0418467,-0.90297,0.588476,-0.0477276,0.105961,-0.44463,0.286439,0.00368457,0.980264,0.132741,-0.14646,0.00355698,0.01
-7.73912,8.67819,-0.0245624,-0.980362,0.675258,-0.0479732,0.114602,-0.482819,0.329525,0.00346148,0.981392,0.127911,-0.143162,0.00359153,0.01
-7.02302,8.2111,-0.00898794,-1.05059,0.757369,-0.0480631,0.121491,-0.517602,0.370451,0.00318041,0.982586,0.122732,-0.139455,0.00362326,0.01
-6.26542,7.69097,0.00498453,-1.11325,0.834279,-0.0480132,0.126575,-0.548767,0.408946,0.00283882,0.983828,0.117242,-0.135362,0.00365156,0.01
