p_x,p_y,p_z,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,dt
0.748258,0.748258,3.048725,0.552716,0.552716,2.058157,-0.778072,-0.778072,7.407178,0.010000
0.753668,0.753668,3.069435,0.544915,0.544915,2.034025,-0.780061,-0.780061,7.396745,0.010000
0.759000,0.759000,3.089903,0.537099,0.537099,2.009799,-0.781580,-0.781580,7.387464,0.010000
0.764253,0.764253,3.110126,0.529273,0.529273,1.985493,-0.782636,-0.782636,7.379323,0.010000
0.769428,0.769428,3.130106,0.521441,0.521441,1.961116,-0.783234,-0.783234,7.372300,0.010000
0.774525,0.774525,3.149841,0.513607,0.513607,1.936679,-0.783380,-0.783380,7.366375,0.010000
0.779544,0.779544,3.169331,0.505776,0.505776,1.912195,-0.783080,-0.783080,7.361533,0.010000
0.784484,0.784484,3.188576,0.497953,0.497953,1.887672,-0.782341,-0.782341,7.357749,0.010000
0.789347,0.789347,3.207575,0.490141,0.490141,1.863122,-0.781170,-0.781170,7.355006,0.010000
0.794131,0.794131,3.226328,0.482345,0.482345,1.838555,-0.779575,-0.779575,7.353282,0.010000
0.798838,0.798838,3.244836,0.474570,0.474570,1.813981,-0.777562,-0.777562,7.352553,0.010000
0.803467,0.803467,3.263097,0.466818,0.466818,1.789409,-0.775141,-0.775141,7.352800,0.010000
0.808020,0.808020,3.281113,0.459095,0.459095,1.764849,-0.772319,-0.772319,7.353996,0.010000
0.812495,0.812495,3.298884,0.451404,0.451404,1.740310,-0.769106,-0.769106,7.356124,0.010000
0.816895,0.816895,3.316410,0.443749,0.443749,1.715801,-0.765510,-0.765510,7.359158,0.010000
0.821218,0.821218,3.333692,0.436133,0.436133,1.691332,-0.761542,-0.761542,7.363072,0.010000
0.825466,0.825466,3.350729,0.428561,0.428561,1.666911,-0.757209,-0.757209,7.367845,0.010000
0.829638,0.829638,3.367523,0.421036,0.421036,1.642545,-0.752524,-0.752524,7.373452,0.010000
0.833737,0.833737,3.384075,0.413561,0.413561,1.618244,-0.747496,-0.747496,7.379870,0.010000
0.837761,0.837761,3.400384,0.406140,0.406140,1.594015,-0.742136,-0.742136,7.387072,0.010000
0.841712,0.841712,3.416453,0.398775,0.398775,1.569865,-0.736455,-0.736455,7.395039,0.010000
0.845590,0.845590,3.432281,0.391471,0.391471,1.545802,-0.730465,-0.730465,7.403740,0.010000
0.849396,0.849396,3.447870,0.384229,0.384229,1.521834,-0.724176,-0.724176,7.413156,0.010000
0.853131,0.853131,3.463221,0.377053,0.377053,1.497966,-0.717602,-0.717602,7.423260,0.010000
0.856795,0.856795,3.478335,0.369945,0.369945,1.474207,-0.710753,-0.710753,7.434031,0.010000
0.860388,0.860388,3.493212,0.362909,0.362909,1.450561,-0.703642,-0.703642,7.445440,0.010000
0.863913,0.863913,3.507856,0.355946,0.355946,1.427036,-0.696282,-0.696282,7.457468,0.010000
0.867369,0.867369,3.522265,0.349059,0.349059,1.403637,-0.688685,-0.688685,7.470088,0.010000
0.870758,0.870758,3.536443,0.342251,0.342251,1.380369,-0.680864,-0.680864,7.483281,0.010000
0.874079,0.874079,3.550390,0.335522,0.335522,1.357240,-0.672831,-0.672831,7.497015,0.010000
0.877335,0.877335,3.564109,0.328876,0.328876,1.334252,-0.664600,-0.664600,7.511275,0.010000
0.880525,0.880525,3.577599,0.322314,0.322314,1.311413,-0.656183,-0.656183,7.526039,0.010000
0.883651,0.883651,3.590863,0.315838,0.315838,1.288725,-0.647595,-0.647595,7.541278,0.010000
0.886714,0.886714,3.603903,0.309450,0.309450,1.266195,-0.638847,-0.638847,7.556976,0.010000
0.889714,0.889714,3.616720,0.303150,0.303150,1.243826,-0.629954,-0.629954,7.573109,0.010000
0.892652,0.892652,3.629316,0.296941,0.296941,1.221623,-0.620927,-0.620927,7.589658,0.010000
0.895530,0.895530,3.641692,0.290823,0.290823,1.199589,-0.611781,-0.611781,7.606603,0.010000
0.898348,0.898348,3.653851,0.284798,0.284798,1.177728,-0.602528,-0.602528,7.623916,0.010000
0.901107,0.901107,3.665793,0.278866,0.278866,1.156044,-0.593181,-0.593181,7.641587,0.010000
0.903808,0.903808,3.677521,0.273029,0.273029,1.134540,-0.583753,-0.583753,7.659591,0.010000
0.906452,0.906452,3.689038,0.267286,0.267286,1.113219,-0.574256,-0.574256,7.677912,0.010000
0.909040,0.909040,3.700343,0.261639,0.261639,1.092084,-0.564703,-0.564703,7.696527,0.010000
0.911573,0.911573,3.711440,0.256088,0.256088,1.071139,-0.555106,-0.555106,7.715426,0.010000
0.914052,0.914052,3.722331,0.250633,0.250633,1.050384,-0.545476,-0.545476,7.734585,0.010000
0.916478,0.916478,3.733017,0.245275,0.245275,1.029824,-0.535827,-0.535827,7.753988,0.010000
0.918852,0.918852,3.743500,0.240013,0.240013,1.009460,-0.526168,-0.526168,7.773621,0.010000
0.921175,0.921175,3.753783,0.234848,0.234848,0.989295,-0.516513,-0.516513,7.793466,0.010000
0.923447,0.923447,3.763866,0.229779,0.229779,0.969330,-0.506871,-0.506871,7.813507,0.010000
0.925670,0.925670,3.773754,0.224807,0.224807,0.949567,-0.497252,-0.497252,7.833731,0.010000
0.927845,0.927845,3.783447,0.219930,0.219930,0.930009,-0.487668,-0.487668,7.854121,0.010000
0.929973,0.929973,3.792947,0.215149,0.215149,0.910655,-0.478129,-0.478129,7.874664,0.010000
0.932054,0.932054,3.802257,0.210463,0.210463,0.891509,-0.468643,-0.468643,7.895346,0.010000
0.934090,0.934090,3.811378,0.205870,0.205870,0.872570,-0.459220,-0.459220,7.916156,0.010000
