dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,0.0223685,-0.0224126,-1.04384e-05,-0.412685,0.413429,0.000459197
0.01,0.0183738,-0.0184108,-6.00427e-06,-0.399466,0.400176,0.000443416
0.01,0.0145313,-0.0145614,-1.74535e-06,-0.384254,0.384947,0.000425892
0.01,0.0108572,-0.0108805,2.31793e-06,-0.367408,0.368083,0.000406328
0.01,0.00736708,-0.00738405,6.15961e-06,-0.349013,0.349648,0.000384168
0.01,0.00407443,-0.0040853,9.76825e-06,-0.329265,0.329875,0.000360864
0.01,0.000990567,-0.000995844,1.31237e-05,-0.308386,0.308946,0.000335542
0.01,-0.00187468,0.00187473,1.62205e-05,-0.286525,0.287057,0.000309683
0.01,-0.00451297,0.00451804,1.90488e-05,-0.263829,0.264332,0.000282831
0.01,-0.00691901,0.00692865,2.16002e-05,-0.240604,0.24106,0.000255136
0.01,-0.0090894,0.00910324,2.38734e-05,-0.217038,0.217459,0.000227321
0.01,-0.0110203,0.0110379,2.58639e-05,-0.193091,0.193467,0.000199056
0.01,-0.0127111,0.0127322,2.75755e-05,-0.169079,0.169428,0.000171161
0.01,-0.0141628,0.0141868,2.90054e-05,-0.14517,0.145464,0.000142986
0.01,-0.0153776,0.0154042,3.01612e-05,-0.121478,0.121736,0.000115581
0.01,-0.0163593,0.0163881,3.10493e-05,-0.0981705,0.0983935,8.88061e-05
0.01,-0.017112,0.0171425,3.1672e-05,-0.0752709,0.0754398,6.22717e-05
0.01,-0.0176431,0.017675,3.20419e-05,-0.0531116,0.0532438,3.69859e-05
0.01,-0.0179595,0.0179923,3.21697e-05,-0.0316357,0.0317355,1.27883e-05
0.01,-0.0180697,0.0181031,3.20626e-05,-0.0110207,0.0110736,-1.07163e-05
0.01,-0.017982,0.0180155,3.17335e-05,0.00876762,-0.00875086,-3.29072e-05
0.01,-0.0177073,0.0177407,3.11963e-05,0.0274707,-0.0274859,-5.37183e-05
0.01,-0.0172565,0.0172895,3.04648e-05,0.0450757,-0.0451217,-7.31526e-05
0.01,-0.0166415,0.0166737,2.95518e-05,0.061502,-0.0615786,-9.12944e-05
0.01,-0.0158737,0.0159048,2.84697e-05,0.0767771,-0.076887,-0.000108211
0.01,-0.0149654,0.0149951,2.72338e-05,0.0908342,-0.0909734,-0.000123589
0.01,-0.0139299,0.0139581,2.5863e-05,0.103545,-0.103698,-0.00013708
0.01,-0.0127804,0.0128067,2.43644e-05,0.114951,-0.115139,-0.000149862
0.01,-0.01153,0.0115541,2.27555e-05,0.125045,-0.125258,-0.000160891
0.01,-0.0101916,0.0102135,2.10508e-05,0.133838,-0.134069,-0.000170469
0.01,-0.00877886,0.00879828,1.9269e-05,0.141275,-0.141518,-0.000178184
0.01,-0.007305,0.00732188,1.74219e-05,0.147386,-0.14764,-0.000184708
0.01,-0.00578181,0.00579605,1.55231e-05,0.15232,-0.152583,-0.000189885
0.01,-0.00422291,0.0042344,1.35851e-05,0.15589,-0.156165,-0.000193799
0.01,-0.00264111,0.00264976,1.16217e-05,0.15818,-0.158464,-0.000196337
0.01,-0.00104757,0.00105324,9.64089e-06,0.159354,-0.159653,-0.00019808
0.01,0.000546132,-0.000543433,7.66175e-06,0.159371,-0.159667,-0.000197915
0.01,0.00212899,-0.00212921,5.69763e-06,0.158286,-0.158578,-0.000196411
0.01,0.00369188,-0.00369504,3.75346e-06,0.156289,-0.156583,-0.000194417
0.01,0.00522292,-0.00522897,1.84465e-06,0.153104,-0.153392,-0.000190881
0.01,0.00671321,-0.006722,-1.65967e-08,0.149028,-0.149303,-0.000186125
0.01,0.00815534,-0.00816689,-1.8291e-06,0.144214,-0.144489,-0.00018125
0.01,0.00954056,-0.00955477,-3.57999e-06,0.138522,-0.138788,-0.000175089
0.01,0.0108634,-0.0108802,-5.26335e-06,0.132287,-0.132546,-0.000168337
0.01,0.012115,-0.0121343,-6.86931e-06,0.125161,-0.125409,-0.000160595
0.01,0.013291,-0.0133126,-8.39171e-06,0.117596,-0.117831,-0.00015224
0.01,0.0143873,-0.014411,-9.82058e-06,0.109629,-0.10984,-0.000142888
0.01,0.0153983,-0.0154241,-1.11591e-05,0.1011,-0.101304,-0.000133853
0.01,0.0163208,-0.0163484,-1.23966e-05,0.0922514,-0.0924349,-0.000123748
0.01,0.0171522,-0.0171815,-1.35313e-05,0.0831398,-0.0833066,-0.000113475
0.01,0.0178911,-0.0179219,-1.45613e-05,0.0738896,-0.0740385,-0.000102992
0.01,0.0185358,-0.0185679,-1.54844e-05,0.0644705,-0.0646018,-9.23159e-05
0.01,0.0190849,-0.0191181,-1.63e-05,0.0549048,-0.0550217,-8.15608e-05
0.01,0.0195393,-0.0195736,-1.70117e-05,0.0454445,-0.0455528,-7.1163e-05
0.01,0.0198983,-0.0199335,-1.76128e-05,0.0358988,-0.0359885,-6.01101e-05
0.01,0.0201633,-0.0201993,-1.81052e-05,0.0265035,-0.026576,-4.92461e-05
0.01,0.0203373,-0.0203738,-1.84912e-05,0.0173988,-0.0174537,-3.85986e-05
0.01,0.0204209,-0.0204578,-1.87717e-05,0.00836139,-0.00840025,-2.80473e-05
0.01,0.0204179,-0.020455,-1.89489e-05,-0.000301933,0.000281154,-1.77195e-05
0.01,0.0203314,-0.0203685,-1.90243e-05,-0.00864922,0.00865093,-7.5461e-06
0.01,0.0201645,-0.0202014,-1.90031e-05,-0.016692,0.0167104,2.11862e-06
0.01,0.0199189,-0.0199555,-1.88914e-05,-0.0245582,0.0245832,1.11718e-05
0.01,0.0196021,-0.0196383,-1.86938e-05,-0.0316847,0.0317223,1.97647e-05
0.01,0.0192171,-0.0192528,-1.84126e-05,-0.038499,0.0385512,2.81225e-05
0.01,0.0187695,-0.0188046,-1.80523e-05,-0.0447539,0.044825,3.60294e-05
0.01,0.0182627,-0.018297,-1.76218e-05,-0.0506836,0.050758,4.30514e-05
0.01,0.0177031,-0.0177365,-1.71249e-05,-0.0559621,0.0560484,4.96834e-05
0.01,0.017095,-0.0171274,-1.65671e-05,-0.0608121,0.0609075,5.57799e-05
0.01,0.0164459,-0.0164774,-1.59568e-05,-0.0649032,0.0650072,6.10303e-05
0.01,0.0157579,-0.0157882,-1.5296e-05,-0.068802,0.0689158,6.60835e-05
0.01,0.0150372,-0.0150663,-1.45924e-05,-0.0720713,0.0721918,7.03592e-05
0.01,0.0142896,-0.0143174,-1.38527e-05,-0.0747629,0.0748893,7.39667e-05
0.01,0.0135228,-0.0135493,-1.30856e-05,-0.0766782,0.07681,7.67158e-05
0.01,0.0127381,-0.0127632,-1.22928e-05,-0.0784723,0.0786084,7.92737e-05
0.01,0.011941,-0.0119648,-1.14828e-05,-0.0797082,0.0798404,8.10022e-05
0.01,0.0111382,-0.0111606,-1.06603e-05,-0.0802792,0.0804193,8.22466e-05
0.01,0.0103346,-0.0103557,-9.83318e-06,-0.0803548,0.0804919,8.27154e-05
0.01,0.00953505,-0.00955474,-9.00657e-06,-0.079959,0.0800949,8.26618e-05
0.01,0.00874229,-0.00876054,-8.18231e-06,-0.0792759,0.0794196,8.24254e-05
0.01,0.0079606,-0.0079774,-7.36668e-06,-0.0781695,0.0783142,8.15636e-05
0.01,0.00719613,-0.00721157,-6.56788e-06,-0.0764464,0.0765832,7.98801e-05
0.01,0.00644989,-0.00646392,-5.78585e-06,-0.0746244,0.0747645,7.82023e-05
0.01,0.00572532,-0.00573804,-5.0261e-06,-0.0724568,0.0725877,7.59753e-05
0.01,0.00502623,-0.00503768,-4.29252e-06,-0.0699096,0.0700359,7.33583e-05
0.01,0.00435795,-0.00436818,-3.59114e-06,-0.0668277,0.0669504,7.01373e-05
0.01,0.00371879,-0.00372776,-2.91958e-06,-0.0639161,0.064042,6.71565e-05
0.01,0.00311439,-0.00312221,-2.28563e-06,-0.0604393,0.0605548,6.33944e-05
0.01,0.00254457,-0.00255123,-1.68819e-06,-0.0569828,0.0570978,5.97445e-05
0.01,0.0020113,-0.00201693,-1.13072e-06,-0.0533262,0.0534307,5.57465e-05
0.01,0.00151691,-0.00152149,-6.1486e-07,-0.0494393,0.0495432,5.15865e-05
0.01,0.00106342,-0.0010671,-1.4407e-07,-0.0453488,0.0454399,4.70789e-05
0.01,0.00064769,-0.000650527,2.85606e-07,-0.0415732,0.0416568,4.29676e-05
0.01,0.000272412,-0.000274483,6.70993e-07,-0.0375279,0.0376044,3.85387e-05
0.01,-6.05178e-05,5.91406e-05,1.00995e-06,-0.033293,0.0333623,3.38952e-05
0.01,-0.00035281,0.000352066,1.30448e-06,-0.0292293,0.0292925,2.94534e-05
0.01,-0.000605111,0.000604933,1.55521e-06,-0.0252301,0.0252867,2.50729e-05
0.01,-0.00081782,0.000818192,1.76286e-06,-0.0212709,0.0213259,2.07654e-05
0.01,-0.000989716,0.000990516,1.92537e-06,-0.0171896,0.0172324,1.6251e-05
0.01,-0.00112416,0.0011253,2.0467e-06,-0.0134441,0.0134785,1.21325e-05
0.01,-0.00122188,0.00122331,2.12779e-06,-0.00977249,0.00980095,8.10927e-06
0.01,-0.00128311,0.00128476,2.16882e-06,-0.00612334,0.0061445,4.10321e-06
0.01,-0.00131118,0.00131297,2.17348e-06,-0.00280608,0.00282118,4.66168e-07
0.01,-0.00130485,0.00130673,2.14046e-06,0.000633026,-0.000624224,-3.30269e-06
0.01,-0.00126864,0.00127055,2.07484e-06,0.00362064,-0.00361749,-6.56119e-06
0.01,-0.00120293,0.00120481,1.97691e-06,0.00657094,-0.00657413,-9.79361e-06
0.01,-0.00111056,0.00111236,1.84988e-06,0.0092369,-0.009245,-1.27033e-05
0.01,-0.000991299,0.000992966,1.69346e-06,0.0119261,-0.0119393,-1.56416e-05
0.01,-0.000851058,0.00085254,1.51424e-06,0.0140241,-0.0140426,-1.79222e-05
0.01,-0.000688085,0.000689349,1.31036e-06,0.0162973,-0.0163191,-2.03881e-05
0.01,-0.000507827,0.000508831,1.08778e-06,0.0180258,-0.0180519,-2.22575e-05
0.01,-0.000311636,0.000312351,8.48067e-07,0.0196191,-0.0196479,-2.39713e-05
0.01,-9.99863e-05,0.000100373,5.91546e-07,0.021165,-0.0211978,-2.56521e-05
0.01,0.000123298,-0.000123271,3.2259e-07,0.0223285,-0.0223644,-2.68957e-05
0.01,0.000355647,-0.000356062,4.34263e-08,0.0232348,-0.0232791,-2.79163e-05
0.01,0.000596758,-0.000597576,-2.44386e-07,0.0241111,-0.0241514,-2.87812e-05
0.01,0.000842923,-0.00084422,-5.37996e-07,0.0246166,-0.0246644,-2.9361e-05
0.01,0.00109186,-0.00109358,-8.33532e-07,0.0248934,-0.0249361,-2.95535e-05
0.01,0.00134148,-0.00134363,-1.12925e-06,0.0249619,-0.0250044,-2.95722e-05
0.01,0.00159177,-0.00159442,-1.42611e-06,0.0250295,-0.0250792,-2.96861e-05
0.01,0.00183912,-0.00184228,-1.71932e-06,0.0247353,-0.024786,-2.93203e-05
0.01,0.00208336,-0.00208694,-2.00777e-06,0.0244233,-0.0244663,-2.88451e-05
0.01,0.00232058,-0.00232464,-2.28865e-06,0.0237223,-0.0237698,-2.80883e-05
0.01,0.0025528,-0.00255727,-2.56277e-06,0.0232225,-0.023263,-2.74117e-05
0.01,0.00277414,-0.00277899,-2.82432e-06,0.0221337,-0.0221725,-2.61548e-05
0.01,0.00298621,-0.00299142,-3.07503e-06,0.0212066,-0.021243,-2.50712e-05
0.01,0.0031874,-0.00319297,-3.3133e-06,0.0201195,-0.0201547,-2.38271e-05
0.01,0.00337541,-0.0033813,-3.53643e-06,0.0188005,-0.0188333,-2.23126e-05
0.01,0.00355261,-0.00355882,-3.74719e-06,0.0177203,-0.0177519,-2.10762e-05
0.01,0.00371468,-0.00372125,-3.94144e-06,0.0162071,-0.0162431,-1.94256e-05
0.01,0.00386102,-0.00386794,-4.11789e-06,0.0146343,-0.0146691,-1.76449e-05
0.01,0.00399447,-0.00400164,-4.27863e-06,0.013345,-0.0133695,-1.60736e-05
0.01,0.00411014,-0.00411751,-4.41894e-06,0.011567,-0.0115875,-1.4031e-05
0.01,0.00421282,-0.00422044,-4.54522e-06,0.0102674,-0.010293,-1.26287e-05
0.01,0.00429766,-0.00430551,-4.65113e-06,0.00848392,-0.0085068,-1.05909e-05
0.01,0.00436669,-0.00437467,-4.73819e-06,0.00690331,-0.00691623,-8.7062e-06
0.01,0.00442017,-0.00442831,-4.80805e-06,0.00534793,-0.00536372,-6.98568e-06
0.01,0.00445809,-0.0044663,-4.85944e-06,0.00379188,-0.00379885,-5.13885e-06
0.01,0.00448022,-0.00448846,-4.89266e-06,0.00221268,-0.00221589,-3.32181e-06
0.01,0.0044828,-0.00449111,-4.90425e-06,0.000258823,-0.000265067,-1.15872e-06
0.01,0.00447185,-0.00448014,-4.89969e-06,-0.0010952,0.00109736,4.55561e-07
0.01,0.00444822,-0.00445651,-4.88107e-06,-0.00236356,0.00236222,1.86151e-06
0.01,0.00441182,-0.00442012,-4.84782e-06,-0.00363979,0.00363977,3.32581e-06
0.01,0.0043585,-0.00436676,-4.79518e-06,-0.00533222,0.00533508,5.26326e-06
0.01,0.00429878,-0.00430693,-4.73439e-06,-0.00597198,0.00598339,6.07915e-06
0.01,0.00422243,-0.00423042,-4.65439e-06,-0.00763432,0.00765066,8.00067e-06
0.01,0.00413518,-0.00414305,-4.56235e-06,-0.00872579,0.00873733,9.2035e-06
0.01,0.00403783,-0.00404558,-4.45871e-06,-0.00973468,0.00974693,1.03639e-05
0.01,0.00392593,-0.00393353,-4.33833e-06,-0.0111902,0.0112054,1.20384e-05
0.01,0.00381138,-0.00381882,-4.21465e-06,-0.0114546,0.0114706,1.23682e-05
0.01,0.00368731,-0.00369457,-4.07988e-06,-0.0124066,0.0124247,1.34764e-05
0.01,0.00355664,-0.00356369,-3.93734e-06,-0.0130678,0.0130879,1.42538e-05
0.01,0.00341964,-0.00342648,-3.78737e-06,-0.0136994,0.0137212,1.4997e-05
0.01,0.00328556,-0.00329219,-3.64041e-06,-0.013408,0.0134295,1.46964e-05
0.01,0.00313672,-0.00314317,-3.47686e-06,-0.0148838,0.0149016,1.63549e-05
0.01,0.00298906,-0.00299527,-3.31408e-06,-0.0147659,0.0147904,1.62779e-05
0.01,0.00283554,-0.00284148,-3.14436e-06,-0.0153521,0.0153791,1.6972e-05
0.01,0.00268461,-0.00269028,-2.97734e-06,-0.0150929,0.01512,1.67018e-05
0.01,0.00253262,-0.00253801,-2.80888e-06,-0.0151993,0.0152269,1.6846e-05
0.01,0.0023787,-0.0023838,-2.63803e-06,-0.0153925,0.0154213,1.70853e-05
0.01,0.00222767,-0.00223248,-2.47026e-06,-0.0151027,0.0151315,1.67776e-05
0.01,0.00207507,-0.00207959,-2.30053e-06,-0.0152596,0.0152891,1.69731e-05
0.01,0.00193034,-0.00193464,-2.13977e-06,-0.0144736,0.0144947,1.60757e-05
0.01,0.00178975,-0.00179379,-1.98329e-06,-0.014059,0.0140857,1.56481e-05
0.01,0.00164706,-0.00165081,-1.82426e-06,-0.0142687,0.0142974,1.59029e-05
0.01,0.00151164,-0.00151518,-1.67352e-06,-0.0135421,0.013563,1.50734e-05
0.01,0.00137964,-0.00138299,-1.52653e-06,-0.0131998,0.0132194,1.46991e-05
