p_x,p_y,p_z,dp_x_prime,dp_y_prime,dp_z_prime,dp_x,dp_y,dp_z,ddp_x,ddp_y,ddp_z,w_hat_x,w_hat_y,w_hat_z
0.349059,0.349083,1.53945,0.977948,0.978022,3.22901,0.982753,0.982806,3.24363,-0.480429,-0.478427,-1.46185,0.323907,0.324971,0.101081
0.358839,0.358863,1.57174,0.971211,0.971252,3.20935,0.977948,0.978022,3.22901,-0.673714,-0.677026,-1.96602,0.259528,0.258436,-0.0620167
0.368551,0.368576,1.60384,0.96343,0.963486,3.19282,0.971211,0.971252,3.20935,-0.778103,-0.776639,-1.65267,0.228691,0.22953,0.104056
0.378185,0.37821,1.63576,0.955202,0.955239,3.17127,0.96343,0.963486,3.19282,-0.82282,-0.824658,-2.15553,0.219636,0.219135,-0.0623955
0.387737,0.387763,1.66748,0.945861,0.945936,3.15289,0.955202,0.955239,3.17127,-0.93407,-0.930271,-1.83757,0.181329,0.183109,0.10158
0.397196,0.397222,1.69901,0.937586,0.937585,3.12954,0.945861,0.945936,3.15289,-0.827483,-0.835073,-2.3354,0.22903,0.226194,-0.066854
0.406572,0.406598,1.7303,0.926324,0.926375,3.10939,0.937586,0.937585,3.12954,-1.12619,-1.121,-2.01454,0.110461,0.112797,0.0942385
0.415835,0.415862,1.7614,0.915632,0.915658,3.08438,0.926324,0.926375,3.10939,-1.06924,-1.07175,-2.50164,0.133909,0.133124,-0.0739424
0.424991,0.425018,1.79224,0.903338,0.903395,3.06252,0.915632,0.915658,3.08438,-1.22936,-1.2263,-2.18559,0.0675157,0.0689836,0.0811103
0.434024,0.434052,1.82286,0.893332,0.893354,3.03604,0.903338,0.903395,3.06252,-1.00069,-1.00411,-2.64781,0.156761,0.155605,-0.0810698
0.442958,0.442986,1.85323,0.879671,0.879706,3.01247,0.893332,0.893354,3.03604,-1.3661,-1.36478,-2.35763,0.00369315,0.0044532,0.0594569
0.451754,0.451783,1.88335,0.866842,0.86688,2.98483,0.879671,0.879706,3.01247,-1.28288,-1.2826,-2.7635,0.030715,0.0310517,-0.0838944
0.460423,0.460452,1.9132,0.853112,0.853143,2.95873,0.866842,0.86688,2.98483,-1.37302,-1.3737,-2.60976,-0.0139655,-0.0140192,-0.00254378
0.468954,0.468983,1.94279,0.841181,0.84122,2.92911,0.853112,0.853143,2.95873,-1.1931,-1.19234,-2.962,0.0493437,0.0498725,-0.12801
0.477366,0.477395,1.97208,0.826411,0.826441,2.90336,0.841181,0.84122,2.92911,-1.47692,-1.4779,-2.57502,-0.0764303,-0.0766106,0.0440797
0.48563,0.48566,2.00111,0.812307,0.812341,2.87326,0.826411,0.826441,2.90336,-1.41042,-1.40997,-3.01001,-0.0614929,-0.0610947,-0.118494
0.493753,0.493783,2.02984,0.797719,0.797744,2.84642,0.812307,0.812341,2.87326,-1.45886,-1.4597,-2.68402,-0.094153,-0.0942822,0.025436
0.50173,0.50176,2.05831,0.784759,0.784796,2.81532,0.797719,0.797744,2.84642,-1.296,-1.2948,-3.10995,-0.0421847,-0.0414875,-0.136779
0.509578,0.509608,2.08646,0.769384,0.769408,2.78785,0.784759,0.784796,2.81532,-1.53742,-1.53881,-2.7471,-0.154786,-0.15514,0.0189295
