q_x,q_y,q_z,dq_x,dq_y,dq_z,omega_x,omega_y,omega_z,domega_x,domega_y,domega_z,w_hat_x,w_hat_y,w_hat_z
0.0421243,0.0421248,-1.73063e-09,-0.000156372,-0.000160817,-1.86373e-07,-0.000159604,-0.000163874,-1.79228e-07,0.000323207,0.00030575,-7.14539e-07,6.89808e-07,6.55875e-07,-3.38613e-09
0.0421238,0.0421242,-1.80883e-09,-0.000138241,-0.000142583,-1.87559e-07,-0.000141745,-0.000146048,-1.852e-07,0.000350443,0.000346463,-2.35918e-07,7.48912e-07,7.42186e-07,-1.53339e-09
0.0421233,0.0421237,-1.97777e-09,-0.000124556,-0.000129464,-2.05728e-07,-0.00012753,-0.000132348,-2.02483e-07,0.000297382,0.000288315,-3.24503e-07,6.35609e-07,6.18507e-07,-1.78923e-09
0.0421229,0.0421233,-2.31842e-09,-0.000107768,-0.000113563,-2.43288e-07,-0.000111007,-0.000116652,-2.37087e-07,0.000323934,0.000308876,-6.20062e-07,6.91554e-07,6.62469e-07,-3.00768e-09
0.0421226,0.0421229,-2.54e-09,-9.27133e-05,-9.8938e-05,-2.63605e-07,-9.57947e-05,-0.000101914,-2.58887e-07,0.000308133,0.000297553,-4.71727e-07,6.58285e-07,6.38121e-07,-2.39849e-09
0.0421224,0.0421227,-2.64002e-09,-7.51991e-05,-8.16813e-05,-2.72096e-07,-7.85719e-05,-8.49858e-05,-2.69468e-07,0.000337277,0.000330448,-2.6279e-07,7.20577e-07,7.081e-07,-1.61393e-09
0.0421221,0.0421223,-2.76071e-09,-7.34833e-05,-8.026e-05,-2.84683e-07,-7.47617e-05,-8.14766e-05,-2.82134e-07,0.000127839,0.000121656,-2.5492e-07,2.74169e-07,2.62195e-07,-1.23313e-09
0.0421217,0.0421219,-2.87667e-09,-6.98302e-05,-7.68894e-05,-2.96742e-07,-7.07309e-05,-7.77319e-05,-2.94287e-07,9.00699e-05,8.42559e-05,-2.45407e-07,1.92448e-07,1.81069e-07,-1.13011e-09
0.0421216,0.0421218,-2.96451e-09,-5.20503e-05,-5.93948e-05,-3.06674e-07,-5.47867e-05,-6.20738e-05,-3.0454e-07,0.000273637,0.000267898,-2.13377e-07,5.8368e-07,5.73167e-07,-1.30529e-09
0.0421214,0.0421215,-3.06628e-09,-4.90224e-05,-5.66408e-05,-3.18468e-07,-5.0285e-05,-5.78478e-05,-3.16182e-07,0.000126259,0.0001207,-2.28657e-07,2.7047e-07,2.5975e-07,-1.12436e-09
0.0421212,0.0421213,-3.1698e-09,-4.45218e-05,-5.24138e-05,-3.30251e-07,-4.55345e-05,-5.33715e-05,-3.27916e-07,0.00010127,9.57721e-05,-2.33501e-07,2.16342e-07,2.05645e-07,-1.10074e-09
0.0421211,0.0421211,-3.26943e-09,-3.96312e-05,-4.77886e-05,-3.41509e-07,-4.06201e-05,-4.87238e-05,-3.39232e-07,9.88914e-05,9.35245e-05,-2.27717e-07,2.11131e-07,2.00689e-07,-1.07361e-09
0.0421211,0.0421211,-3.11329e-09,-2.06133e-05,-2.8399e-05,-3.24023e-07,-2.35479e-05,-3.13684e-05,-3.25742e-07,0.000293461,0.000296941,1.71896e-07,6.26575e-07,6.34695e-07,1.92436e-10
0.0421211,0.0421211,-3.19964e-09,-1.67744e-05,-2.48838e-05,-3.37892e-07,-1.82103e-05,-2.62857e-05,-3.36499e-07,0.000143586,0.000140182,-1.39302e-07,3.07668e-07,3.01401e-07,-7.90564e-10
0.0421211,0.042121,-3.28409e-09,-1.15205e-05,-1.98897e-05,-3.48985e-07,-1.26909e-05,-2.10136e-05,-3.47022e-07,0.000117035,0.000112397,-1.96229e-07,2.50114e-07,2.41221e-07,-9.77117e-10
0.0421211,0.042121,-3.36334e-09,-5.86066e-06,-1.44606e-05,-3.5892e-07,-7.00461e-06,-1.55583e-05,-3.56941e-07,0.000114395,0.000109772,-1.97898e-07,2.44329e-07,2.3545e-07,-9.80194e-10
0.0421212,0.042121,-3.43505e-09,-8.11636e-08,-8.89302e-06,-3.67923e-07,-1.23339e-06,-1.00017e-05,-3.66068e-07,0.000115222,0.000110865,-1.85549e-07,2.46094e-07,2.37753e-07,-9.32523e-10
0.0421213,0.042121,-3.5045e-09,5.94586e-06,-3.0714e-06,-3.76702e-07,4.75688e-06,-4.21853e-06,-3.74915e-07,0.000118898,0.000114713,-1.78656e-07,2.53948e-07,2.45969e-07,-9.10973e-10
0.0421214,0.0421211,-3.56971e-09,1.19365e-05,2.72453e-06,-3.84995e-07,1.07412e-05,1.56908e-06,-3.83297e-07,0.000119528,0.000115545,-1.698e-07,2.55326e-07,2.47755e-07,-8.76753e-10
0.0421215,0.0421212,-3.62538e-09,1.80604e-05,8.67807e-06,-3.92225e-07,1.68447e-05,7.49825e-06,-3.90701e-07,0.000121567,0.000117982,-1.5235e-07,2.59702e-07,2.52941e-07,-8.10644e-10
0.0421217,0.0421213,-3.67274e-09,2.42907e-05,1.47608e-05,-3.98568e-07,2.3054e-05,1.35556e-05,-3.97221e-07,0.000123667,0.000120519,-1.34712e-07,2.64219e-07,2.58349e-07,-7.43725e-10
0.0421219,0.0421215,-3.71023e-09,3.05301e-05,2.08802e-05,-4.03809e-07,2.92857e-05,1.96621e-05,-4.02669e-07,0.000124441,0.00012181,-1.1403e-07,2.65914e-07,2.61089e-07,-6.62524e-10
0.0421221,0.0421217,-3.74039e-09,3.68601e-05,2.71103e-05,-4.08244e-07,3.56008e-05,2.58729e-05,-4.07279e-07,0.000125934,0.000123739,-9.64998e-08,2.69128e-07,2.65191e-07,-5.94952e-10
0.0421224,0.0421219,-3.75394e-09,4.31644e-05,3.3356e-05,-4.1082e-07,4.1904e-05,3.21105e-05,-4.10166e-07,0.000126037,0.000124551,-6.5356e-08,2.69401e-07,2.66893e-07,-4.71104e-10
0.0421227,0.0421221,-3.75514e-09,4.9447e-05,3.96108e-05,-4.12133e-07,4.81893e-05,3.83615e-05,-4.1175e-07,0.000125772,0.000124928,-3.82983e-08,2.68876e-07,2.67662e-07,-3.62576e-10
0.0421231,0.0421224,-3.7427e-09,5.56972e-05,4.58643e-05,-4.12041e-07,5.44448e-05,4.46141e-05,-4.11936e-07,0.000125241,0.000125026,-1.05281e-08,2.67782e-07,2.67835e-07,-2.50864e-10
0.0421234,0.0421227,-3.72163e-09,6.19033e-05,5.20963e-05,-4.11092e-07,6.06586e-05,5.08487e-05,-4.11191e-07,0.000124467,0.000124758,9.89118e-09,2.6616e-07,2.67232e-07,-1.67915e-10
0.0421238,0.0421231,-3.68205e-09,6.80446e-05,5.83114e-05,-4.08091e-07,6.68113e-05,5.7067e-05,-4.08537e-07,0.000123334,0.000124443,4.45978e-08,2.6379e-07,2.66506e-07,-2.77822e-11
0.0421242,0.0421235,-3.62818e-09,7.41103e-05,6.44892e-05,-4.03585e-07,7.2891e-05,6.32509e-05,-4.04346e-07,0.000121938,0.00012383,7.6099e-08,2.60856e-07,2.65147e-07,1.00357e-10
0.0421247,0.0421239,-3.55987e-09,8.00092e-05,7.05354e-05,-3.97549e-07,7.88171e-05,6.93172e-05,-3.98619e-07,0.0001192,0.000121821,1.06989e-07,2.55054e-07,2.60806e-07,2.28212e-10
0.0421252,0.0421243,-3.47106e-09,8.57259e-05,7.64525e-05,-3.89275e-07,8.45675e-05,7.52583e-05,-3.9075e-07,0.000115838,0.000119416,1.47487e-07,2.47928e-07,2.55595e-07,3.95261e-10
0.0421257,0.0421248,-3.36658e-09,9.12621e-05,8.22245e-05,-3.79434e-07,9.0139e-05,8.10578e-05,-3.8125e-07,0.000112305,0.000116669,1.81623e-07,2.40423e-07,2.49665e-07,5.37526e-10
0.0421262,0.0421253,-3.245e-09,9.66036e-05,8.7844e-05,-3.67814e-07,9.55184e-05,8.67069e-05,-3.69982e-07,0.000108522,0.000113713,2.16775e-07,2.32387e-07,2.43282e-07,6.84111e-10
0.0421268,0.0421258,-3.11097e-09,0.000101661,9.32122e-05,-3.54909e-07,0.000100626,9.2119e-05,-3.57363e-07,0.000103422,0.000109325,2.45381e-07,2.21535e-07,2.33847e-07,8.06907e-10
0.0421273,0.0421263,-2.95657e-09,0.000106423,9.8339e-05,-3.39747e-07,0.000105446,9.72927e-05,-3.42602e-07,9.77765e-05,0.000104634,2.85438e-07,2.09526e-07,2.23741e-07,9.75959e-10
0.0421279,0.0421269,-2.7844e-09,0.000110891,0.000103213,-3.22745e-07,0.000109971,0.000102216,-3.25978e-07,9.19503e-05,9.96901e-05,3.23232e-07,1.97124e-07,2.13096e-07,1.13656e-09
0.0421284,0.0421273,-2.09514e-09,0.000101013,9.52942e-05,-2.4402e-07,0.000102094,9.60812e-05,-2.55923e-07,-0.000108173,-7.86989e-05,1.1903e-06,-2.2832e-07,-1.69379e-07,4.91163e-09
0.0421287,0.0421277,-1.00549e-09,8.94122e-05,8.64384e-05,-1.26452e-07,9.1349e-05,8.79049e-05,-1.46391e-07,-0.000193681,-0.00014665,1.99389e-06,-4.10719e-07,-3.16668e-07,8.26387e-09
0.042129,0.042128,-1.93954e-10,7.93496e-05,7.80476e-05,-5.04168e-08,8.13384e-05,7.96601e-05,-6.70709e-08,-0.000198875,-0.000161249,1.66541e-06,-4.22865e-07,-3.47675e-07,6.98476e-09
0.0421293,0.0421283,4.2194e-10,7.00702e-05,7.02682e-05,7.78837e-09,7.19671e-05,7.18415e-05,-5.39588e-09,-0.000189689,-0.000157329,1.31843e-06,-4.03635e-07,-3.39058e-07,5.58587e-09
0.0421295,0.0421285,1.37285e-09,5.73036e-05,5.98531e-05,1.07586e-07,5.96542e-05,6.17788e-05,8.97049e-08,-0.000235069,-0.000192568,1.78812e-06,-4.99727e-07,-4.14943e-07,7.51882e-09
0.0421296,0.0421286,2.03885e-09,4.60926e-05,5.01099e-05,1.702e-07,4.83681e-05,5.20513e-05,1.56035e-07,-0.000227549,-0.000194138,1.41653e-06,-4.84511e-07,-4.17941e-07,6.04048e-09
0.0421297,0.0421288,2.82821e-09,3.50597e-05,4.11417e-05,2.52512e-07,3.72876e-05,4.2981e-05,2.36752e-07,-0.000222788,-0.000183925,1.57595e-06,-4.73982e-07,-3.96467e-07,6.65872e-09
0.0421299,0.042129,3.09001e-09,3.90705e-05,4.56155e-05,2.72375e-07,3.92039e-05,4.55648e-05,2.64785e-07,-1.33371e-05,5.06312e-06,7.58976e-07,-2.8574e-08,8.60109e-09,3.07122e-09
0.0421299,0.042129,3.58126e-09,2.33925e-05,3.13444e-05,3.27605e-07,2.56021e-05,3.33027e-05,3.17609e-07,-0.000220966,-0.000195826,9.99535e-07,-4.69719e-07,-4.19888e-07,4.3504e-09
0.0421298,0.042129,4.2529e-09,1.00773e-05,1.97555e-05,4.01534e-07,1.25994e-05,2.19614e-05,3.88222e-07,-0.000252211,-0.000220586,1.33114e-06,-5.37134e-07,-4.74343e-07,5.72602e-09
0.0421297,0.042129,4.70405e-09,-1.76919e-06,8.68945e-06,4.42962e-07,6.47143e-07,1.09003e-05,4.33135e-07,-0.000241633,-0.000221082,9.82708e-07,-5.15444e-07,-4.74866e-07,4.33104e-09
0.0421295,0.0421289,5.331e-09,-1.33635e-05,-1.0379e-06,5.1201e-07,-1.10145e-05,9.89503e-07,4.99422e-07,-0.0002349,-0.00020274,1.25885e-06,-5.00309e-07,-4.36399e-07,5.41097e-09
0.0421295,0.0421289,5.60949e-09,-1.10764e-05,1.86273e-06,5.38476e-07,-1.06673e-05,2.08772e-06,5.30947e-07,-4.09069e-05,-2.24984e-05,7.52927e-07,-8.74368e-08,-5.03872e-08,3.08647e-09
0.0421294,0.0421289,5.88551e-09,-1.06628e-05,2.98984e-06,5.68752e-07,-1.05928e-05,2.9043e-06,5.62239e-07,-7.00105e-06,8.55346e-06,6.51254e-07,-1.42003e-08,1.71713e-08,2.61394e-09
